s.area	s.perimeter	s.radius.mean	s.radius.sd	s.radius.min	s.radius.max	h.asm.s1	h.con.s1	h.cor.s1	h.var.s1	h.idm.s1	h.sav.s1	h.sva.s1	h.sen.s1	h.ent.s1	h.dva.s1	h.den.s1	h.f12.s1	h.f13.s1	h.asm.s2	h.con.s2	h.cor.s2	h.var.s2	h.idm.s2	h.sav.s2	h.sva.s2	h.sen.s2	h.ent.s2	h.dva.s2	h.den.s2	h.f12.s2	h.f13.s2	m.cx	m.cy	m.majoraxis	m.eccentricity	m.theta	Cir
76	32	4.46967253337195	0.730579355320423	3.18995003879371	5.80308377072053	0.027240136534391	10.8078602620087	0.834400587979809	33.6325441925211	0.313865710243825	23.6113537117904	614.345465881412	1.37122895104914	1.70839334796472	10.8078602620087	0.804744659739931	0.314252893080185	0.686364628681546	0.0403690888119954	38.7450980392157	0.405528485978221	33.5878508266051	0.2246656931479	23.3725490196078	584.094621954515	1.18047122848359	1.46148946114209	38.7450980392157	0.9463561382526	0.153898603471396	0.465032236243322	4.90789473684211	5.35526315789474	11.5402936694741	0.647757589862197	1.07898700341751	0.93266031903447
181	92	7.29552268628273	2.83121507318763	0.560283650819993	12.0906361696466	0.05703344036338	9.04070796460177	0.646395266091231	13.7836353669042	0.350284685839085	17.3203539823009	303.408013414117	1.15513886121135	1.46675370194447	9.04070796460177	0.781652529750587	0.184264832280322	0.507420017068567	0.07867431640625	20.6796875	0.2783464093146	15.3279876708984	0.332227350598528	16.9765625	288.514317056919	1.10577002220215	1.39459098278041	20.6796875	0.909978268306716	0.0690248795797139	0.308047572652609	55.1878453038674	8.49171270718232	25.0009578445773	0.772434205683755	-0.412235269235511	0.268727916020677
157	80	7.71751614260179	3.35416358257625	0.277545041389687	15.2086170064868	0.0687434395138864	8.23926380368098	0.631399484062811	12.1764138239636	0.401470456937797	16.480572597137	273.846871719559	1.07341581116947	1.36003871033346	8.23926380368098	0.727470363091157	0.179523681246528	0.485049633361502	0.0550054341263132	19.4285714285714	0.320901255307834	15.3046733486294	0.303031681091498	17.032967032967	292.609456216353	1.06990547666127	1.36985894949916	19.4285714285714	0.829659659035005	0.157367326345027	0.456753321754867	108.331210191083	9.29299363057325	26.8817585370947	0.798428098669583	1.37663732338971	0.308268779133498
41	20	3.23722771673985	0.616730662421863	2.0591260281974	4.38634243989226	0.0719821439642879	8.36220472440945	0.341255421404289	7.34707669415339	0.367166596532044	15.6062992125984	230.741758149005	0.98728227927486	1.24294313713155	8.36220472440945	0.736015059098057	0.0951943687286991	0.341799933293422	0.0929752066115702	19.5909090909091	-0.19398098595983	9.20402892561983	0.262299465240642	15.9545454545455	243.143942825191	0.791473990834003	1.08217472370239	19.5909090909091	0.70266706345647	0.0549807072742206	0.243611710163806	209.975609756098	4.82926829268293	8.89051451539705	0.731252300585563	1.00896325087181	1.28805298797181
40	20	3.12769848993833	0.835165945209377	1.64924225024706	4.4407206622349	0.0718818163791394	7.30081300813008	0.340714831439215	6.53691585696345	0.395377476582641	15.4308943089431	223.699254721376	0.979167619662925	1.23376333620863	7.30081300813008	0.719685010951514	0.0706144657900059	0.293857478104914	0.105442176870748	9.04761904761905	-0.236825790452571	4.65759637188208	0.328032751562163	15.5238095238095	222.156362025859	0.807369886928933	1.05106083579977	9.04761904761905	0.714334058247707	0.0609624058393159	0.252889489677434	219.625	4.525	9.5073677776338	0.810922617344502	-1.56995514320088	1.25663706143592
126	52	6.51747968873843	2.60807291034943	1.77298931871017	11.8349722453134	0.0394236547707099	10.9927884615385	0.859759907783808	40.1927454118898	0.328303043950669	23.1322115384615	620.811957405428	1.33694223020552	1.65868779600794	10.9927884615385	0.769767859952942	0.332346269018932	0.695504599036968	0.0609	36.64	0.603912445624443	47.2524	0.302626802501695	23.52	648.821536170414	1.14921690752838	1.4095141339647	36.64	0.809825526702978	0.201783517314487	0.520751924317269	236.753968253968	5.14285714285714	22.72129465873	0.930261357055689	-0.322851616820958	0.585563127740109
60	33	4.45966592288812	1.9500871548028	1.49931113658823	7.79117958584212	0.100122428260026	9.08743169398907	0.383358340433593	8.36848666726388	0.402988724203768	15.3715846994535	230.959940434495	0.860436383092503	1.11393779509443	9.08743169398907	0.651443504366587	0.130821816514238	0.379971143690856	0.27359693877551	4.57142857142857	0.325301204819277	4.38775510204082	0.650420168067227	15.1428571428571	221.010767362094	0.581566831715094	0.699828615725944	4.57142857142857	0.402816677454994	0.118117076035119	0.290003019224094	291.583333333333	7.11666666666667	17.063349839696	0.956499864264677	-1.44526390291423	0.692362017320065
156	70	8.20920647027233	4.08915321630263	0.243276948084654	15.3381610264552	0.05916	8.832	0.578960054216521	11.488316	0.368731026048673	16.644	274.389332697951	1.11119379191412	1.42608799057239	8.832	0.761278440305014	0.158909955201118	0.46713846220508	0.0836754301685738	16.4485981308411	0.214180798504473	11.4658922176609	0.38121062567168	16.0747663551402	251.188584021183	1.04900137357001	1.30955599588261	16.4485981308411	0.853601352144989	0.0626919921992422	0.285066721785212	309.538461538462	17.0192307692308	36.0559854210418	0.956598551947305	1.21407828022409	0.400072207314292
40	21	3.16273451991459	0.713850132639483	2.09577915092051	4.55776728567677	0.0474334856221446	10.0737704918033	0.635522117762881	14.8194537758667	0.336285803643566	18.6147540983607	348.604735552298	1.19635316886559	1.51050636329095	10.0737704918033	0.783275929527551	0.205554624431921	0.540859432178864	0.0680473372781065	33.5769230769231	-0.0121513455664327	17.5869082840237	0.230643087380809	19.1923076923077	366.649620292044	0.9199539787635	1.24981599056786	33.5769230769231	0.861837243481184	0.0783054954853187	0.311191004457789	330.125	3.225	8.99259566493873	0.740926091566364	0.503018315464157	1.13980685844528
58	30	3.85383667014334	1.14995102691504	0.508811250749128	5.32217582907175	0.0461440029961612	9.37988826815642	0.70613286946795	16.9594035766674	0.350538128816144	18.7877094972067	362.905893744804	1.2250170012854	1.55627257627573	9.37988826815642	0.792729762354153	0.214503291263508	0.558547294650738	0.0408631772268136	26.0909090909091	0.233665529378449	18.02318640955	0.203625902191182	20.7575757575758	426.141247774215	1.15810098841615	1.44777291711574	26.0909090909091	0.839623938378087	0.201387388894364	0.526213748150514	343.724137931034	3.58620689655172	11.4129984383653	0.74019882509058	0.047924470550831	0.809832772925369
