s.area	m.eccentricity	s.radius.sd	h.sva.s2	h.idm.s1	h.sen.s1	m.majoraxis
76	0.647757589862197	0.730579355320423	584.094621954515	0.313865710243825	1.37122895104914	11.5402936694741
181	0.772434205683755	2.83121507318763	288.514317056919	0.350284685839085	1.15513886121135	25.0009578445773
157	0.798428098669583	3.35416358257625	292.609456216353	0.401470456937797	1.07341581116947	26.8817585370947
41	0.731252300585563	0.616730662421863	243.143942825191	0.367166596532044	0.98728227927486	8.89051451539705
40	0.810922617344502	0.835165945209377	222.156362025859	0.395377476582641	0.979167619662925	9.5073677776338
126	0.930261357055689	2.60807291034943	648.821536170414	0.328303043950669	1.33694223020552	22.72129465873
60	0.956499864264677	1.9500871548028	221.010767362094	0.402988724203768	0.860436383092503	17.063349839696
156	0.956598551947305	4.08915321630263	251.188584021183	0.368731026048673	1.11119379191412	36.0559854210418
40	0.740926091566364	0.713850132639483	366.649620292044	0.336285803643566	1.19635316886559	8.99259566493873
58	0.74019882509058	1.14995102691504	426.141247774215	0.350538128816144	1.2250170012854	11.4129984383653
98	0.980057203481591	3.7015466740075	191.095732507184	0.453279357481038	0.870388003644373	31.9481095109863
135	0.642091274065147	1.52280637321865	471.871378920948	0.326174068285617	1.32253344495002	16.266870062218
130	0.928854611231689	2.54917004439569	416.483542037873	0.305163251616341	1.28549527520792	22.4768516875152
50	0.782771928482991	0.90687816882192	323.229506345948	0.328641778360774	1.17583517838342	10.5171520034079
46	0.780173306244946	0.741054132148088	239.306030133273	0.348862284034698	1.01556027867397	9.74726342694379
198	0.747331207079909	1.76039019883784	490.800622565281	0.313623882737699	1.33674030905876	20.8725693811783
34	0.483208021636977	0.791408865905887	130.22653937913	0.389470211161388	0.813685748950061	7.75313453879993
154	0.92162322219278	2.73024974367217	440.82713429754	0.313648060295453	1.28849153574298	24.0364994897479
389	0.90982247552966	5.36841836926119	390.471077012493	0.351687634251691	1.26634884873723	47.2422159739479
997	0.907460784629156	10.9970576982371	289.408759027527	0.370961455045134	1.13703735877225	94.9777376330564
53	0.664467673700364	0.661684690558543	423.072146573382	0.330412913113923	1.11616895652122	9.70262388964121
145	0.536681428614886	1.89180876080715	370.746630668314	0.366751618385605	1.19551249496602	17.1025848956695
543	0.739117031749965	5.21112070836971	355.905761070728	0.349838791851963	1.22363859055525	45.9193588739722
94	0.95096507894235	2.7516915895122	296.99393744435	0.348107610640013	1.10197183104556	22.7443928407201
61	0.930363489200684	1.86949999383714	232.475610516364	0.367115272997626	0.982470678259076	15.784503259953
55	0.781435618155943	0.834136030509497	263.544567206833	0.334233770998477	1.11341004095849	10.727764565729
85	0.880533246602488	2.33618943008655	192.666750528105	0.445611561336895	0.906525662171015	19.2096039896218
166	0.813770840195628	2.35991982536125	390.089462579223	0.327494660216424	1.25380718124196	21.4288552779833
33	0.785265220087885	0.67420899075466	199.311333589543	0.369537863655511	0.893667509317667	8.31768658223604
82	0.535722104327178	1.49634852325601	219.531007123883	0.382573353025842	1.01974485085393	12.977688742618
92	0.836928214963628	1.45003730704689	372.853306446115	0.338334272259055	1.17430467176713	15.3860320093596
193	0.760839024480457	3.26832300755205	334.230090452318	0.351230828399323	1.19136618400396	26.0004147867271
57	0.795096724887564	0.907177887733919	306.390780757933	0.364006412471886	1.07338599557905	11.1608165014745
421	0.835110894334021	4.84119088231769	338.986551875417	0.353928484229877	1.19820031207847	44.7768368605033
95	0.959984460862881	2.63162056103623	265.973240780998	0.362789515730692	1.06348397789047	21.743242478956
46	0.801624172360119	1.25585507399739	168.525408049463	0.410646792653713	0.768735852165828	11.3026136567063
40	0.884057980562161	1.24348441920691	141.872616417908	0.444070837884225	0.799125583452381	11.2726291034832
35	0.85850705487976	0.822938905706583	176.790048792944	0.390267009090538	0.894343415513128	9.31931765075637
1190	0.898955469645454	10.6438027816214	328.816713049773	0.351212591478189	1.19713885904235	94.480372693677
41	0.8317918546436	0.864872300495291	188.922748866334	0.377829717500306	0.952632976417985	9.94035382234187
