s.area	m.eccentricity	s.radius.sd	h.sva.s2	h.idm.s1	h.sen.s1	m.majoraxis
32	0.344436488029973	0.448628685191295	490.924320878401	0.325446057329467	0.9783762646932	6.70366683612319
35	0.93280782474065	1.42727317938087	383.826198760388	0.460808239527239	0.892682203812402	12.2059210370737
98	0.771932000609512	1.9465431753997	379.067620207217	0.360387692397665	0.926959011308649	17.1157759484572
63	0.874952915749506	1.15201153662558	535.271220006083	0.357396701283949	1.12848056933534	12.9519802011239
78	0.913788101184811	2.15353826689888	343.403575871258	0.376295629315624	0.936137767664903	19.8941766631046
122	0.954509985534054	3.36337498671055	642.051316904956	0.370081703718609	1.14390232684429	27.8545382718523
51	0.968198769788416	2.12714596612848	230.309296408226	0.427201254437354	0.692702423123601	18.0669424340338
41	0.964813121753482	1.88740625160855	281.520595842964	0.497717465364524	0.627209644177924	16.8711479197442
35	0.808946259438599	0.814011072276762	384.109825123232	0.39779291764917	0.936758310139003	8.96495607596339
66	0.881982689054867	1.4538767427271	482.995155294475	0.333165253038998	1.07122226321105	14.0421401144154
37	0.803866025358896	0.745973385951417	449.006633585488	0.378426137048806	0.982403263498534	9.06566320429438
68	0.971406506885908	2.5018069585319	382.356125647558	0.395196187728157	0.766792930870038	20.6860673440781
77	0.757105040546151	1.5869008602724	434.070305187221	0.396122593320669	1.01627802536458	14.0907448205585
70	0.879229448775056	1.76359160329856	488.921989781875	0.364305961256493	1.0309958120196	15.2369447581268
64	0.972564609601489	2.55532479232667	317.553227422077	0.405299959962801	0.859653981872071	21.6582358269658
144	0.925771668757195	4.4680410823074	301.816750730976	0.413400003613947	0.861530457218679	36.0867139593202
37	0.719401222181285	0.652377860771794	461.205259810353	0.327495019812093	0.956046237947659	8.44303813777879
69	0.740265743020293	1.01146340025123	436.181022434549	0.357242414301041	1.0728066539066	12.0884887686072
41	0.957322297046167	1.60962899495049	278.995315825305	0.480757726819541	0.681519782510866	13.7017942480908
35	0.83485575215196	0.930134441224538	302.434160131014	0.395082783793191	0.870380209530546	9.29976902066011
83	0.768735581157436	2.0034877928773	347.660384289776	0.445902019771766	0.866806942858777	17.6529342470006
66	0.986113910104415	3.14309479510399	232.105514475636	0.566604215074803	0.62805058737595	25.8315393349197
37	0.784431250369307	0.759551007618947	396.65957683498	0.359506627964304	0.971858655963392	8.89978468161543
76	0.786990742171725	1.12795709204976	620.133759565213	0.33463948927259	1.16923546661637	13.0634466012166
31	0.954839636633602	1.39244138822971	266.387224852405	0.463469559524923	0.634295844910076	11.9023636162387
151	0.978541935357798	4.85454647831941	345.939137097803	0.385984724462817	0.891644118497007	40.8624318923996
62	0.847563673443211	1.20015029123397	498.932856538371	0.333122660882839	1.08669468743888	12.5573642072077
36	0.933887611071873	1.33527095854017	325.972502205703	0.378219182148365	0.817020685686772	11.6631056894427
39	0.909100124900508	1.60081414340231	271.45350665079	0.573284881520176	0.633989439905367	13.3189471258331
63	0.652964420542129	0.8086331752627	692.672068598553	0.312087154979831	1.14542878120883	10.656052942263
40	0.939402905317983	1.44178167837261	334.504795549357	0.437761087659668	0.731668858884725	12.9409702756006
72	0.906127343194624	1.63829820445181	479.963853619639	0.362126735917366	1.0179375779632	15.5886443820371
96	0.730516790174659	1.75074195806398	450.602986024948	0.347292109003646	1.0144335289155	15.7112281251719
110	0.974966643568432	3.63300775732011	423.651805564884	0.389678492377014	0.993164653801791	29.8107757131638
138	0.961193654980441	3.79732772412206	520.63599244539	0.371372445753488	1.1158637028495	33.9430789439644
32	0.685998913375405	0.600113995549733	379.779245837663	0.399203310955633	0.894750370948627	7.67313784617327
105	0.954663059399182	3.05743054797103	383.762715561336	0.411315914758369	0.978876139609976	24.7790918852634
41	0.80050605090229	0.88872180242035	402.578864565325	0.376620772489704	0.946318083682853	9.84331347281985
47	0.628687278095197	0.899197862444175	462.470884994858	0.385511758216758	0.957459539687266	9.44199285798419
43	0.686555219909171	1.05664966013226	413.726101405974	0.385137032140274	0.825035226814251	9.64693957763956
123	0.808617193707118	2.67938601963512	565.1012647159	0.343500238015857	1.13840626330913	20.9975998499002
65	0.772176797238559	1.4640179873605	362.359047612412	0.390872321576861	0.916624315121978	13.7736309000774
45	0.947716838263583	1.63077728949991	303.814461477847	0.379624890213125	0.860361546099154	14.1765380931774
86	0.941786503087222	2.40378466132469	471.609050211494	0.33585979912864	1.0246753119124	21.1125059378479
